ResponseID,Career,ProgramDescr,Level,AcadPlan1Name,AcadPlan1,AcadPlan1Type,DormBuilding,OrignAddrCntry,Q1.a,Q1.b,Q1.c,Q1.d,Q1.e,Q1.f,Q1.g,Q1.h,Q1.1,Q1.2,Q2.a,Q2.b,Q2.c,Q2.d,Q2.e,Q2.f,Q3.a,Q3.b,Q3.c,Q3.d,Q3.e,Q3.f,Q3.g,Q3.h,Q3.i,Q3.j,Q3.k,Q3.l,Q3.m,Q3.n,Q3.o,Q3.1.a,Q3.1.b,Q3.1.c,Q3.1.d,Q4.1,Q4.2,Q4.3,Q5.1,Q5.2,Q5.3,Q5.4,Q5.5a,Q5.5.b,Q5.5.c,Q5.5.d,Q5.5.e
R_28Ai5v10MIVOHrK,PUBH,Non-Degree Public Health,ND Grad,Special Standing Student,SPECSTSPH,Non-Degree,No Dorm,USA,6,7,7,1,2,1,1,1,1,1,6,5,5,4,3,6,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,0,0,0,0,0
R_1hFmOjddja35xMr,GAH,Non-Degree Grad Allied Health,ND Grad,Special Standing Student,SPECSTGAH,Non-Degree,No Dorm,USA,5,4,7,4,4,1,1,6,3,3,5,5,5,5,4,3,4,4,4,0,0,5,5,5,4,5,4,0,4,1,1,0,1,0,0,2,0,2,2,3,4,4,1,0,0,0,0
R_1mVP5UBo0blLHXI,GAH,Non-Degree Grad Allied Health,ND Grad,Special Standing Student,SPECSTGAH,Non-Degree,No Dorm,USA,6,7,6,3,5,1,1,7,3,3,5,7,6,7,7,6,5,4,4,4,4,5,5,4,5,4,4,3,4,3,3,1,1,1,1,3,0,0,1,5,2,4,0,0,1,0,0
R_2zApiYJELRIrOab,GAH,Non-Degree Grad Allied Health,ND Grad,Special Standing Student,SPECSTGAH,Non-Degree,No Dorm,USA,6,7,4,5,3,1,1,1,3,3,5,7,7,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,0,0,3,0,0,2,7,5,1,0,0,1,0,0
R_124keeouQr2fR6H,MED,Doctor of Medicine,Prof 4,Doctor of Medicine,MEDDOCTR,Major,No Dorm,USA,6,6,6,4,2,1,1,3,4,4,6,4,2,6,3,6,4,4,5,5,5,5,5,5,5,4,5,4,5,5,5,1,1,1,1,2,0,6,1,5,5,1,0,0,1,0,0
R_0jPJAFLDy8047uh,GSAS,Doctor of Philosophy,Adv Stdng,Anthropology,ANTHPHD,Major,No Dorm,USA,7,5,6,5,5,2,2,6,1,2,7,7,7,7,7,6,5,5,5,5,5,5,4,5,5,5,5,5,5,2,4,1,1,1,0,2,0,6,1,4,6,4,1,0,0,0,0
R_1E5MRgiINQYe7Pk,GBUS,Master of Business Admin.,Grad Yr 1,Business Administration,BUSMBA,Major,No Dorm,USA,4,6,6,4,7,1,1,1,1,5,6,6,6,6,5,4,4,4,0,1,1,1,2,3,1,1,3,1,4,1,5,1,1,1,1,2,0,1,1,4,1,6,0,0,1,0,0
R_3mgVPOXMC1zv46q,GSAS,Doctor of Philosophy,Adv Stdng,Psychology,PSYCPHD,Major,No Dorm,USA,6,5,6,2,5,1,1,2,1,1,5,6,5,5,5,7,4,4,4,4,4,4,4,4,4,4,4,0,4,1,1,1,1,1,0,2,0,1,1,3,4,4,1,0,0,0,0
R_3qWZZBKGMF3F1x1,THEO,Doctor of Ministry,Grad Yr 1,Biblical Interp & Proclamation,BIBINPRCDM,Major,No Dorm,USA,7,7,7,7,7,1,1,1,3,4,7,7,7,7,7,7,5,5,5,5,5,5,4,3,5,5,5,5,5,2,5,1,1,0,0,2,0,1,1,6,6,4,1,0,0,0,0
R_215SCntKadC1xIl,THEO,Doctor of Ministry,Grad Yr 1,Chrch Leadrship & Comm Witness,CHLDCMWTDM,Major,No Dorm,USA,3,3,4,2,2,1,1,1,3,5,5,5,5,3,3,2,3,2,2,2,4,3,4,2,3,4,4,4,4,4,2,0,0,0,0,2,0,2,1,5,3,4,0,0,1,0,0
